"Attribution: Attribution Number","Opportunity: Opportunity Name","Opportunity: Account Name","Partner Net ARR (converted) Currency","Partner Net ARR (converted)","Opportunity: Net ARR Atlas (Commission) Currency","Opportunity: Net ARR Atlas (Commission)","Opportunity: Net ARR Non-Atlas (Commission) (converted) Currency","Opportunity: Net ARR Non-Atlas (Commission) (converted)","Opportunity: zzDeprecate-Owner Area Group","Opportunity: zzDeprecate-Owner Regional Group","Partner","Split %","Role","Opportunity: Close Date","Opportunity: Fiscal Period","Opportunity: Stage","Status","Attribution: Created Date","Opportunity: Created Date"
"A-0476120","National Westminster Bank plc Multiple Projects - Renewal","National Westminster Bank plc","USD","1752332.71","GBP","0.00","USD","5006664.89","EMEA","UK&I II","Tata Consultancy Services Limited","35.00","Strategic","12/31/2026","Q4-2027","Research","Pending Approval","2/13/2025","2/4/2024"
"A-0601985","JPMorgan Chase Bank, National Association Atlas Team, Atlas New 3yr Flex Commit - Run Rate - FY27-Q1","JPMorgan Chase Bank, National Association","USD","901399.02","USD","6009326.78","USD","0.00","NAMER","East III","Accenture LLP","15.00","Influencing","4/30/2026","Q1-2027","Elastic Forecast","Approved","11/1/2025","11/1/2025"
"A-0711863","Disney MPO- FY25 AWS - Renewal - Run Rate - FY27-Q1","Disney Worldwide Services, Inc","USD","836468.73","USD","5576458.20","USD","0.00","NAMER","SoCal","Accenture LLP","15.00","Influencing","4/30/2026","Q1-2027","Elastic Forecast","Approved","3/9/2026","5/2/2025"
"A-0620467","Charter Communications Operating, LLC COE APP - Renewal","Charter Communications Operating, LLC","USD","495389.60","USD","0.00","USD","3302597.32","NAMER","SoCal","Capgemini U.S. LLC","15.00","Influencing","7/31/2026","Q2-2027","Research","Pending Approval","11/3/2025","11/3/2025"
"A-0620466","Charter Communications Operating, LLC COE APP - Renewal","Charter Communications Operating, LLC","USD","495389.60","USD","0.00","USD","3302597.32","NAMER","SoCal","Infosys Limited","15.00","Influencing","7/31/2026","Q2-2027","Research","Pending Approval","11/3/2025","11/3/2025"
"A-0651398","*Adobe - ATS - EA Org Wide Renewal - FY26 - Run Rate - FY27-Q1","Adobe, Inc. (f/k/a Adobe Systems Incorporated)","USD","387470.51","USD","2583136.76","USD","0.00","NAMER","NorCal 1","Tata Consultancy Services Limited","15.00","Influencing","4/30/2026","Q1-2027","Elastic Forecast","Approved","2/2/2026","1/17/2026"
"A-0139370","Charles Schwab - MongoDB Integrated Platform - Renewal","Charles Schwab & Co., Inc.","USD","313537.26","USD","0.00","USD","2035196.72","NAMER","South Central 1","Infosys Limited","15.00","Influencing","5/7/2026","Q2-2027","Negotiate","Pending Approval","8/3/2023","8/3/2023"
"A-0714011","Stellantis VDP - Renewal - Run Rate - FY27-Q1","Stellantis","USD","193264.86","USD","552185.31","USD","0.00","EMEA","France","Accenture S.p.A.","35.00","Strategic","4/30/2026","Q1-2027","Elastic Forecast","Approved","3/19/2026","5/2/2025"
"A-0522287","United States Postal Service Packing system - Renewal - Run Rate - FY27-Q1","United States Postal Service","USD","170378.61","USD","486796.04","USD","0.00","NAMER","US Public Sector","Accenture Federal Services Llc","35.00","Strategic","4/30/2026","Q1-2027","Elastic Forecast","Approved","5/2/2025","5/2/2025"
"A-0637148","INPS - DB Unico Pensioni","INPS","USD","157386.51","EUR","0.00","USD","449675.73","EMEA","EMEA PubSec","Accenture S.p.A.","35.00","Strategic","10/31/2026","Q3-2027","Scope","Approved","1/16/2026","11/13/2025"
